8,9,462.23,252.82,33.36,70.42,0.76,-1,-1,-1
9,1,149.77,319.70,26.82,77.81,0.76,-1,-1,-1
9,2,692.84,256.51,43.17,78.42,0.77,-1,-1,-1
9,3,222.57,485.06,41.07,106.98,0.76,-1,-1,-1
9,4,120.92,240.77,47.73,67.71,0.77,-1,-1,-1
9,5,716.67,526.37,37.77,110.30,0.76,-1,-1,-1
9,6,796.57,217.34,32.12,69.10,0.76,-1,-1,-1
9,7,451.57,207.20,27.17,67.02,0.75,-1,-1,-1
9,9,454.34,254.06,33.19,68.75,0.76,-1,-1,-1
10,1,141.28,320.52,30.67,76.68,0.76,-1,-1,-1
10,2,685.13,257.75,45.56,77.41,0.77,-1,-1,-1
10,3,211.58,485.34,46.77,108.52,0.75,-1,-1,-1
10,4,117.25,240.91,43.67,67.50,0.77,-1,-1,-1
10,5,708.42,528.31,36.58,109.24,0.76,-1,-1,-1
10,6,790.51,217.46,31.50,68.89,0.75,-1,-1,-1
10,7,442.07,207.46,29.22,66.41,0.74,-1,-1,-1
10,9,447.62,254.73,32.38,68.21,0.76,-1,-1,-1
11,1,129.54,321.82,38.72,76.42,0.77,-1,-1,-1
11,2,679.55,259.31,41.46,75.67,0.77,-1,-1,-1
11,3,205.75,488.98,43.93,105.60,0.77,-1,-1,-1
11,4,114.88,241.33,37.22,68.22,0.76,-1,-1,-1
11,5,699.39,530.53,36.13,108.18,0.76,-1,-1,-1
11,6,784.37,217.24,29.55,69.06,0.75,-1,-1,-1
11,7,432.96,208.55,30.27,63.93,0.74,-1,-1,-1
11,9,440.76,255.79,31.38,67.08,0.76,-1,-1,-1
12,1,119.48,322.68,41.32,75.92,0.77,-1,-1,-1
12,2,675.33,261.01,35.92,73.91,0.76,-1,-1,-1
12,3,196.46,491.18,44.14,104.40,0.77,-1,-1,-1
12,4,112.85,241.15,31.74,68.34,0.76,-1,-1,-1
12,5,688.51,531.55,36.04,107.59,0.75,-1,-1,-1
12,6,774.90,217.23,32.28,69.77,0.75,-1,-1,-1
12,7,423.15,210.63,30.97,62.07,0.73,-1,-1,-1
12,9,433.58,257.14,30.66,66.23,0.75,-1,-1,-1
13,1,108.00,324.98,43.95,74.70,0.77,-1,-1,-1
13,2,670.44,261.95,35.33,72.93,0.76,-1,-1,-1
13,3,186.72,492.36,43.05,103.89,0.76,-1,-1,-1
13,4,109.22,240.24,28.71,68.45,0.76,-1,-1,-1
13,5,676.95,531.92,36.66,106.75,0.75,-1,-1,-1
13,6,767.12,216.34,32.91,69.71,0.75,-1,-1,-1
13,7,412.78,212.04,32.57,62.13,0.72,-1,-1,-1
13,9,428.02,257.91,27.43,65.24,0.74,-1,-1,-1
14,1,97.05,325.65,43.90,74.45,0.77,-1,-1,-1
14,2,666.44,261.19,34.75,73.26,0.74,-1,-1,-1
14,3,177.40,494.00,41.43,102.18,0.76,-1,-1,-1
14,4,104.18,239.20,23.97,69.18,0.74,-1,-1,-1
14,5,664.37,531.96,39.13,109.34,0.75,-1,-1,-1
14,6,754.35,214.41,37.58,71.42,0.76,-1,-1,-1
14,7,405.51,212.90,28.14,59.90,0.72,-1,-1,-1
14,9,418.95,258.69,28.23,64.20,0.75,-1,-1,-1
14,11,1257.37,374.75,22.97,94.55,0.75,-1,-1,-1
15,1,89.05,327.16,39.86,73.70,0.77,-1,-1,-1
15,2,657.93,260.15,34.82,74.10,0.73,-1,-1,-1
15,3,167.42,495.25,42.56,101.81,0.75,-1,-1,-1
15,4,91.89,238.70,29.05,69.47,0.72,-1,-1,-1
